t,S,pnl_pct,hold,flips,bias_len,bias_left,atr_pct,win
1774757700000,-1,3.7931034482758474,798,5,1756,798,0.38566943680516413,True
1774902600000,-1,2.515723270440251,637,3,1756,637,0.4477901305544786,True
1775357100000,-1,-4.808414725770116,132,1,1756,132,0.33988682190926905,False
1775591100000,1,0.5738880918220834,449,3,577,449,0.8190060891537874,True
1775754000000,1,-3.708791208791218,268,1,577,268,0.6785686465828485,False
1776227400000,1,4.679144385026723,471,1,582,471,0.6562219891562565,True
1777100400000,1,-6.1907417735638575,200,1,624,200,0.6053843956011979,False
1777386600000,-1,-2.8828828828828756,636,5,754,636,0.6145309818742297,False
1777474800000,-1,-4.770642201834874,538,3,754,538,0.5881500804663548,False
1777774500000,-1,-4.070473876063185,205,1,754,205,0.4049423320307701,False
1778429700000,1,-5.995828988529728,539,5,1062,539,0.5052994266904853,False
1778638500000,1,-4.804646251319966,307,3,1062,307,0.4725235540498426,False
1778739300000,1,-6.4348728593669025,195,1,1062,195,0.8714207895584927,False
1779195600000,-1,14.08114558472554,2241,17,2553,2241,0.5254379635764078,True
1779478200000,-1,13.617276544691059,1927,15,2553,1927,0.9453432158639101,True
1779628500000,-1,12.30207064555422,1760,13,2553,1760,0.487422847195001,True
1779757200000,-1,12.621359223300976,1617,11,2553,1617,0.6279274508314104,True
1779938100000,-1,10.112359550561811,1416,9,2553,1416,1.1680449881261987,True
1780220700000,-1,10.336239103362399,1102,7,2553,1102,0.47459328431315667,True
1780322400000,-1,8.39694656488551,989,5,2553,989,0.8744915620345992,True
1780537500000,-1,-0.13908205841444143,750,3,2553,750,1.4972226192556302,False
1780974900000,-1,-6.3515509601181686,264,1,2553,264,0.7865521677163277,False
1781478900000,1,-4.78796169630643,367,1,663,367,0.6665511349790446,False
1782073800000,-1,9.503546099290784,1118,3,1412,1118,0.35334289917267603,True
